titulo,data,conteudo
Roubos de veículos no Estado apresentou queda em novembro de 2007 ,Renata Fortes06/03/2008 16:35h,"
O Instituto de Segurança Pública (ISP) divulgou na quarta-feira, dia 05.03, as estatísticas de criminalidade no Estado referentes ao mês de novembro de 2007. 
Vinte delitos foram analisados; 16 itens registraram queda, enquanto 4 tiveram aumento em relação ao mesmo período do ano anterior.  
A novidade foi a queda no número de roubos de veículos. Os números do acumulado de janeiro a novembro de 2007, sofreram redução de 2.888 casos (7,1%), comparados com o mesmo período no ano de 2006. O destaque acontece para o acumulado do ano passado, que apresenta melhor índice desde o ano de 2002. O número de casos de outubro até novembro de 2007 sofreu um aumento de 36 casos, o que corresponde a 1,4%. Mas esse quadro é alterado quando comparado a novembro de 2006, que registrou 414 casos, ou seja, 14,1% a mais. 
Os delitos de trânsito merecem atenção especial. O crime de homicídio culposo no trânsito apresentou queda em relação a Novembro de 2006. Foram 25 mortes a menos (10,9%), assim como 58 mortes a menos (22,1%) que em outubro de 2007; no entanto, vale observar que no acumulado de janeiro a novembro de 2007, comparado ao mesmo período de 2006, houve 271 mortes a mais (11,2%). 
Já o crime de lesão corporal culposa no trânsito, apesar da redução de 244 vítimas (7,1%), em relação ao período de outubro de 2007 à novembro de 2006, contabilizou um aumento de 190 vítimas (6,3%); assim como no acumulado de janeiro a novembro de 2007 em relação ao mesmo período de 2006, que constatou um aumento de 3.316 vítimas (10,3%)..
Esses números apresentam a totalização dos índices de criminalidade total do Estado.
Assessoria de Imprensa do Instituto de Segurança Pública – ISPTel: 3399-1164 Renata Fortes 9767.3365e-mail: rfortes@isp.rj.gov.brwww.isp.rj.gov.br

"
Começa Curso de Capacitação para Policiais,Renata Fortes07/03/2008 16:39h,"
O presidente do Instituto de Segurança Pública (ISP), Mário Sérgio Duarte, participou nesta semana da aula inaugural do Curso Superior de Polícia Integrado. Um grupo de 50 policiais civis e militares está tendo aulas na Academia Estadual de Polícia Sylvio Terra (ACADEPOL), na Escola Superior de Polícia Militar (ESPM) e na Fundação Getúlio Vargas (FGV), a nova parceira educacional dessa iniciativa.
O Secretário de Estado de Segurança, José Mariano Beltrame, também esteve presente no primeiro dia do projeto, cuja turma é formada por delegados de Polícia Civil e oficiais superiores da Polícia Militar. 
O quadro curricular é composto por dois módulos e exige, no mínimo, 75% de freqüência nas aulas. De acordo com a coordenadoria do curso o objetivo é valorizar cada vez mais o certificado e melhorar o nível destes profissionais. 
Entre os professores estão policiais e especialistas em outras áreas específicas. Os alunos aprovados irão participar de uma viagem de estudos em local determinado pela Coordenação Geral. A cerimônia de encerramento do Curso Superior de Polícia Integrado está prevista para o dia 15 de dezembro.
"
Dossiê Mulher,Renata Fortes07/03/2008 16:42h,"
O Instituto de Segurança Pública informa que a publicação da série de estudos Dossiê Mulher será divulgada na 1ª semana de abril, quando todos os arquivos de informação vão estar consolidados.
"
Reunião apresentará novo Presidente do Instituto de Segurança Pública (ISP),Renata Fortes07/03/2008 16:45h,"
O Presidente do Instituto de Segurança Pública, Mário Sergio de Brito Duarte, será apresentado na próxima segunda-feira, dia 10.03, na Secretaria de Estado de Segurança, pelo Secretário José Mariano Beltrame, aos Presidentes dos Conselhos Comunitários de Segurança de todo o Estado (CCS).  
Além da reunião de apresentação outros assuntos serão abordados, entre eles: a diferença conceitual entre Conselho Comunitário de Segurança e o Café Comunitário, as respectivas resoluções e a forma que as atas devem ser encaminhadas pelos Conselhos para o ISP.
Outro ponto a ser abordado será a possibilidade de extinção dos Cafés Comunitários, nas áreas que já têm Conselhos Comunitários em atividade.
O Conselho Comunitário foi criado em 1999 com o objetivo de estreitar relações entre membros das comunidades e autoridades da área de segurança pública (Delegado de Polícia Titular e o Comandante da Companhia de Policiamento da área do Distrito Policial ou do Município), a fim de equacionar e solucionar problemas da segurança no Estado.   
Horário: 14hLocal: Edifício da Central do Brasil – Praça Cristiano Otoni, s/n – 4º andar – Auditório da Secretaria de Segurança - SESEG  
Assessoria de Imprensa do Instituto de Segurança Pública – ISPTel: 3399-1164 Renata Fortes 9767.3365e-mail: rfortes@isp.rj.gov.brwww.isp.rj.gov.br
"
"Transparência, agilidade e maior clareza no levantamento de dados",Renata Fortes07/03/2008 19:00h,"
O Tenente-Coronel Mário Sérgio de Brito Duarte afirmou, em sua primeira reunião de trabalho como Presidente do Instituto de Segurança Pública no dia 25 de fevereiro, que transparência, clareza e agilidade na divulgação dos dados referentes às estatísticas de criminalidade no Estado, são prioridades na sua gestão.
Segundo ele, haverá ênfase na análise dos delitos que mais influenciam o sentimento de insegurança da população fluminense, pela violência com que são cometidos: o homicídio, o roubo de automóveis e os chamados Crimes de Rua (roubo em coletivo, roubo a transeuntes e roubo de aparelhos celulares).
Dessa maneira, o ISP se alinha com as prioridades estabelecidas pelo governo do Estado, através da Câmara de Gestão da Segurança Pública do Rio de Janeiro (CAGESP).
“Pretendemos auxiliar as agências policiais do Estado a reduzirem esses índices. Para isso vamos disponibilizar conhecimento e análise detalhados acerca desses delitos. Esse trabalho será focado nas áreas mais críticas e poderá ser conhecido também pela população através dos Conselhos Comunitários de Segurança. Com isso pretendemos criar, com a população local, uma rede solidária de prevenção primária. Nesse sentido é fundamental que o cidadão tome conhecimento detalhado de como ocorrem os fenômenos criminosos que mais afligem a comunidade”, disse Mário Sérgio.
Em relação aos atrasos dos dados criminais, o Presidente do ISP afirmou que está identificando os obstáculos no fluxo das informações e que pretende normalizar o tempo de divulgação até o fim do 1º semestre deste ano, quando todo o processo estará organizado.    
Assessoria de Imprensa do Instituto de Segurança Pública – ISPTel: 3399-1164 Renata Fortes 9767.3365e-mail: rfortes@isp.rj.gov.brwww.isp.rj.gov.br
"
ISP promove ações no Complexo do Alemão   ,Renata Fortes e Carolina Boechat11/03/2008 17:57h,"
O Instituto de Segurança Pública (ISP) está desenvolvendo projetos com base nas ações previstas pelo Programa Nacional de Segurança com Cidadania (Pronasci) em toda a extensão do Complexo do Alemão. O objetivo destes projetos é estabelecer o diálogo entre moradores e agentes das forças de segurança para tratar problemas específicos de cada região, a partir da ótica dos moradores.
O curso de formação de agentes comunitários e mediação de conflitos terá como meta a capacitação de 40 agentes por ano, que irão mobilizar as comunidades, proporcionando o diagnóstico de problemas locais relacionados à segurança pública. Desta forma, serão criadas condições necessárias para o desenvolvimento de Conselhos Comunitários de Segurança que serão estruturados na região.
Outro grande projeto também desenvolvido pelo ISP pretende tratar da questão da violência nas escolas do Complexo do Alemão. Através desta iniciativa, profissionais da rede pública de ensino, alunos e familiares terão um espaço para o aprendizado de técnicas educativas em situações de emergência.
O convênio que será celebrado entre Estado e União visa garantir a melhoria da qualidade de vida dos moradores daquela região, através do comprometimento das autoridades e da participação efetiva da comunidade no desenvolvimento das atividades acima descritas. 
 
Assessoria de Imprensa do Instituto de Segurança Pública – ISPTel: 3399-1164 Renata Fortes 9767.3365e-mail: rfortes@isp.rj.gov.brwww.isp.rj.gov.br
"
Presidente do ISP  é apresentado aos Presidentes do Conselho  Comunitário de Segurança Pública,Renata Fortes e Carolina Boechat11/03/2008 18:34h,"




Foto: Zeca Porto 
Vice-Pres. do ISP: Ten. Cel. Robson Rodrigues da Silva; Pres. do ISP: Ten. Cel. Mario Sérgio de Brito Duarte; Secretário de Estado de Segurança: José Mariano Beltrame; Subsecretário de Planejamento e Integração Operacional: Roberto Sá; Coordenador dos Conselhos Comunitários de Segurança: Ten. Cel. Paulo Augusto Souza Teixeira. 
A nova equipe do Instituto de Segurança Pública (ISP) formada pelo Presidente  Ten. Cel. Mario Sergio de Brito Duarte, o Vice-Pres. Ten. Cel. Robson Rodrigues da Silva e o Coordenador dos Conselhos Comunitários, Ten. Cel. Paulo Augusto Souza Teixeira, foi apresentada na tarde de quarta-feira, dia 10.03, a 36 representantes dos Conselhos Comunitários de Segurança (CCS) de vários municípios do Rio de Janeiro. Participaram ainda da reunião, o Secretário de Estado de Segurança, José Mariano Beltrame e o Subsecretário de Planejamento e Integração Operacional, Roberto Sá.  
Beltrame iniciou o evento afirmando que a mudança faz parte da quebra de paradigmas. “Haverá um salto com a mudança. O trabalho mostrará, a curto prazo, resultados diferenciados. A nova gestão não irá apresentar apenas dados estatísticos, a partir de agora haverá também uma análise feita com base nas pesquisas e demandas de cada comunidade, representadas pelas Áreas Integradas de Segurança Pública (AISP’s). A prioridade no trabalho será a transparência, clareza nas informações e comprometimento com os Conselhos de cada região”.
Já em relação aos representantes das comunidades, o secretário ressaltou a importância das atividades desenvolvidas por estes, já que não é possível pensar em segurança pública sem a participação popular.
A função da comunidade nos Conselhos também foi comentada pelo Presidente do Instituto, Mário Sérgio e pelo Vice-Presidente, Robson Rodrigues. O Vice-Presidente comentou que o Café vem cumprindo o papel no preparo da população para discutir a questão da segurança pública, ajudando os Conselhos Comunitários de Segurança a funcionarem plenamente. 
Para a diretoria, deve haver maior integração entre a sociedade e os órgãos públicos. Desta forma, um grupo multidisciplinar de profissionais, com um novo olhar a respeito das demandas representativas da população, está se unindo a remanescentes da antiga equipe.
Mário Sergio, ao aceitar o convite do secretário Beltrame para presidir o ISP, assumiu o dever de manter o contato com os Presidentes dos Conselhos Comunitários, garantindo a continuidade e inovações de projetos; entre eles, a previsão de um conjunto de ações do Instituto em parceria com a Casa Civil Estadual na área do Complexo do Alemão:




Foto: Zeca Porto 
Representantes das AISP's 

Haverá capacitação de agentes comunitários e mediação de conflitos; 
Estruturação de Conselhos Comunitários; 
Desenvolvimento de um projeto voltado para a violência nas escolas. 
O Coordenador dos Conselhos Comunitários, Ten. Cel. Teixeira, ressaltou a importância da participação da comunidade que é imprescindível para o desenvolvimento local. Expandir os canais de comunicação entre a polícia e a comunidade é uma das metas da nova coordenadoria.
A proposta sobre a desobrigação de manter o Café da Manhã Comunitário nos batalhões de cada AISP foi levado pelo Instituto e debatido por todos os representantes das áreas, com a finalidade de fortalecer as reuniões dos conselhos. Uma nova reunião será agendada para que as idéias sejam expostas. 
 
Assessoria de Imprensa do Instituto de Segurança Pública – ISPTel: 3399-1164 Renata Fortes 9767.3365e-mail: rfortes@isp.rj.gov.brwww.isp.rj.gov.br
"
Presidente do ISP e Secretário de Estado de Segurança debatem com membros do Comitê Internacional da Cruz Vermelha  (CICV) sobre a missão humanitária de proteger vítimas e policiais,Renata Fortes e Carolina Boechat13/03/2008 16:54h,"





Silvia Backes, Thales Luz, José Mariano Beltrame, Angela Gussin, Mario Sérgio de Brito Duarte, Michel Minnig e Pierre Gentile 
A necessidade de uma integração e maior colaboração entre o Instituto de Segurança Pública e o Comitê Internacional da Cruz Vermelha fez com que o Presidente do ISP, Mario Sérgio de Brito Duarte e o Secretário de Estado de Segurança, José Mariano Beltrame, recebessem na tarde de quarta-feira (12.03), no gabinete do Secretário, membros do Comitê Internacional da Cruz Vermelha. 
A comitiva do CICV integrada pela Chefe de Operação para a América Latina, em Genebra, na Suíça, Ângela Gussing, o Representante para o Brasil e Países do Cone Sul, Michel Minning, o Chefe da Divisão de Proteção, em Genebra, Pierre Gentile e a Coordenadora do Escritório no Brasil, Silvia Backes, solicitou ao Secretário Beltrame e ao Presidente do Instituto, que normas de direitos humanos  sejam integradas aos aspectos práticos e teóricos na instrução e formação de toda a polícia do Rio e no uso do poder de polícia (uso da força, armas de fogo e captura e detenção de criminosos).
O Secretário de Segurança, José Mariano Beltrame, fez uma análise sobre o Estado, concluindo que durante muitos anos o Rio de Janeiro sofreu com a ausência de ações que promovessem o desenvolvimento na área de Segurança Pública local. Assim, torna-se mais difícil, porém não impossível, estabelecer políticas de segurança eficientes, capazes de aliar atuação policial e princípios humanitários.  
Beltrame acrescentou que a organização internacional deve trabalhar com imparcialidade e neutralidade para que tenha, efetivamente, uma atuação de sucesso nas regiões mais violentas da cidade. Por conta disso, todas as ações que tratam de violência devem ser muito bem analisadas e estruturadas com cautela, pois a maioria dos problemas enfrentados hoje pelo poder público do Rio de Janeiro, recai sobre a Secretaria de Segurança. 
Vale ressaltar que, segundo o Secretário, os inimigos dos bandidos não se resumem apenas à polícia: existem constantes batalhas com facções criminosas e milícias, tornando cada vez mais árduo o trabalho dos policiais em sua totalidade.[áudio - Secretário de Estado de Segurança]
Os membros da organização sabem sobre a notória complexidade da situação da segurança pública no Rio de Janeiro, mas a maior preocupação fica por conta do desrespeito aos valores humanitários; por isso, pedem a colaboração do Secretário Beltrame e do Presidente do ISP, Mario Sérgio, para maximizar os princípios humanitários diante do impacto de força utilizado obrigatoriamente pelas polícias.
Mario Sérgio ressaltou que o ISP serve como uma interface entre a população e o poder público. Da mesma forma, deve-se estabelecer a relação com o Comitê Internacional da Cruz Vermelha: um clima de confiança, para manter uma relação de trabalho capaz de aplicar o uso dos direitos humanos dentro da função policial.[áudio - Presidente do ISP]
O CICV realiza projetos em áreas de conflito no mundo inteiro. São promovidas ações em vários países, sendo todas apoiadas pelos órgãos de segurança de cada localidade. 
O Comitê foi fundado em 1963 e atua como intermediário neutro em caso de conflitos armados e áreas de conflitos, visando, sempre, a maximização da missão humanitária e garantindo antes de tudo a vida de cada cidadão, seja ele policial ou membro da sociedade civil. 
Assessoria de Imprensa do Instituto de Segurança Pública – ISPTel: 3399-1164 Renata Fortes 9767.3365e-mail: rfortes@isp.rj.gov.brwww.isp.rj.gov.br
"
Pesquisa Anual de 2007 apresenta queda em 19 tipos de crimes no Rio de Janeiro ,Renata Fortes e Carolina Boechat19/03/2008 13:24h,"




Foto: Zeca Porto
José Mariano Beltrame (Secretário de Estado de Segurança) e Mário Sérgio de Brito Duarte (Diretor-Presidente do Instituto de Segurança Pública)
O Instituto de Segurança Pública (ISP) divulgou o balanço total dos índices de criminalidade referentes ao ano de 2007. O Presidente do Instituto, Ten. Cel. Mário Sérgio de Brito Duarte, reiterou que até o início do 2º semestre os dados coletados sobre a criminalidade no Estado não serão mais divulgados com atraso. 
A nova diretoria fará um levantamento especial com detalhes e dinâmicas de crimes considerados prioridades pela segurança. Entre eles: homicídio, roubo de veículo, roubo de rua (roubo a transeunte, roubo em coletivo e roubo de celular), além de furto em coletivo.
Dos 39 itens publicados no Diário Oficial, 6 são atividades policiais; logo, o levantamento corresponde a 33 delitos analisados. Deste total, 19 tipos de ocorrências apresentaram queda e outros 14 sofreram aumento, se comparados à pesquisa divulgada no ano de 2006.
Os delitos que merecem atenção em razão da maior ou menor incidência na comparação entre os anos de 2006 e 2007 são: 

Homicídio Culposo no Trânsito: 2.967 ocorrências entre janeiro e dezembro de 2007. O número aumentou em relação ao mesmo período no ano anterior (2.667). Dado negativo.
Homicídios Dolosos: 6.133 ocorrências entre janeiro e dezembro de 2007. O número diminuiu em relação ao mesmo período no ano anterior (6.323). Dado positivo.
Lesão Corporal Culposa no Trânsito: 38.943 ocorrências entre janeiro e dezembro de 2007. O número aumentou em relação ao mesmo período no ano anterior (35.347). Dado negativo.
Lesão Corporal Dolosa: 73.908 ocorrências entre janeiro e dezembro de 2007. O número também aumentou em relação ao mesmo período no ano anterior (73.506). Dado negativo.
Resistência com Morte do Opositor – Auto de Resistência: 1.330 ocorrências entre janeiro e dezembro de 2007. O número aumentou em relação ao mesmo período no ano anterior (1.063). Dado negativo.
Roubo de Aparelhos Celulares: 7592 ocorrências entre janeiro e dezembro de 2007. O número diminuiu em relação ao mesmo período no ano anterior (7.962). Dado positivo.
Roubo a Bancos: 24 ocorrências entre janeiro e dezembro de 2007. O número também diminuiu em relação ao mesmo período no ano anterior (46). Dado positivo.
Roubo em Coletivos: 8.347 ocorrências entre janeiro e dezembro de 2007. O número diminuiu em relação ao mesmo período no ano anterior (8.482). Dado positivo.
Roubo a Transeuntes: 59.494 ocorrências entre janeiro e dezembro de 2007. O número aumentou em relação ao mesmo período no ano anterior (46.340). Dado negativo.
Roubo de Veículos: 31.849 ocorrências entre janeiro e dezembro de 2007. O número diminuiu em relação ao mesmo período no ano anterior (34.941). Dado positivo. * Em 2007, houve uma redução de 3.092 (-8,8%) casos, quando comparado com o período de 2006, o que representa melhor número desde o ano de 2002.

Para mais informações clique aqui.
 
Assessoria de Imprensa do Instituto de Segurança Pública – ISPTel: 3399-1164 Renata Fortes 9767.3365e-mail: rfortes@isp.rj.gov.brwww.isp.rj.gov.br
"
ISP faz reunião em Seropédica para promover a implantação de mais um Conselho Comunitário de Segurança no Estado,Renata Fortes e Carolina Boechat19/03/2008 17:06h,"




Foto: Divulgação ISP
Reunião do CCS em Seropédica
Com o objetivo de implantar mais um Conselho Comunitário de Segurança no Estado do Rio de Janeiro, foi realizada na terça-feira (18.03), uma reunião entre os representantes do poder público e líderes comunitários do município de Seropédica, na Baixada Fluminense.
O Gerente Coordenador dos Conselhos, Dr. Marcus Vinícius Veloso e o Comandante do 24º Batalhão de Polícia da localidade, Ten. Cel. Lima Castro, discutiram com representantes da comunidade a importância de medidas que garantam a melhoria da segurança pública no município, através da ótica dos próprios moradores. 
De acordo com o Comandante, a presença do CCS é fundamental para o avanço da segurança pública local. Ele acrescentou que as regiões que abrigam estas reuniões apresentaram grande desempenho desde o início de suas atividades.
Marcus Veloso ressaltou que discutir segurança pública é um assunto complexo, mas com o empenho nas partes envolvidas no projeto, as soluções aparecem com mais facilidade. Para ele, os Conselhos servem como fonte de instrução da população em relação ao papel dos órgãos públicos. 
Através do diálogo entre as instituições públicas e representantes da comunidade, foi agendada uma nova reunião para eleger os membros para compor a diretoria do Conselho Comunitário de Segurança, no município de Seropédica.
A meta do Instituto de Segurança Pública (ISP) é implantar, o mais breve possível, Conselhos Comunitários em todos os municípios do Rio de Janeiro. 
Assessoria de Imprensa do Instituto de Segurança Pública – ISPTel: 3399-1164 Renata Fortes 9767.3365e-mail: rfortes@isp.rj.gov.brwww.isp.rj.gov.br
"
